name,long_name,label,type,spss_index,label_set_id,value_labels_json,non_missing_count,missing_count
P7_4,P7_4,"P.07) Dentre essas opções, quais o(a) sr(a) considera racismo? Alguma outra?",numeric,32,10,"{""1"": ""Ação ou prática motivada contra um grupo de uma raça/cor/etnia"", ""2"": ""Ação ou prática motivada contra um grupo de uma origem social ou territorial"", ""3"": ""Ação motivada contra as práticas culturais de um grupo"", ""4"": ""Ação ou prática motivada contra a religião de um grupo"", ""5"": ""Ação ou prática motivada devido às características de uma pessoa"", ""6"": ""Produção de desigualdades a partir das diferenças entre os grupos"", ""99"": ""Não sabe/ Não respondeu""}",149,1851
P7_5,P7_5,"P.07) Dentre essas opções, quais o(a) sr(a) considera racismo? Alguma outra?",numeric,33,10,"{""1"": ""Ação ou prática motivada contra um grupo de uma raça/cor/etnia"", ""2"": ""Ação ou prática motivada contra um grupo de uma origem social ou territorial"", ""3"": ""Ação motivada contra as práticas culturais de um grupo"", ""4"": ""Ação ou prática motivada contra a religião de um grupo"", ""5"": ""Ação ou prática motivada devido às características de uma pessoa"", ""6"": ""Produção de desigualdades a partir das diferenças entre os grupos"", ""99"": ""Não sabe/ Não respondeu""}",113,1887
P7_6,P7_6,"P.07) Dentre essas opções, quais o(a) sr(a) considera racismo? Alguma outra?",numeric,34,10,"{""1"": ""Ação ou prática motivada contra um grupo de uma raça/cor/etnia"", ""2"": ""Ação ou prática motivada contra um grupo de uma origem social ou territorial"", ""3"": ""Ação motivada contra as práticas culturais de um grupo"", ""4"": ""Ação ou prática motivada contra a religião de um grupo"", ""5"": ""Ação ou prática motivada devido às características de uma pessoa"", ""6"": ""Produção de desigualdades a partir das diferenças entre os grupos"", ""99"": ""Não sabe/ Não respondeu""}",91,1909
P8_1,P8_1,"P.08) Na sua opinião, quais situações a seguir representam a forma como as pessoas manifestam o racismo? ",numeric,35,11,"{""1"": ""Violência verbal, como xingamentos ou ofensas"", ""2"": ""Tratamento desigual"", ""3"": ""Negação de oportunidades"", ""4"": ""Violência física, como agressões"", ""5"": ""Exclusão/isolamento/desprezo de um grupo de pessoas"", ""6"": ""Intolerância religiosa"", ""7"": ""Conflitos interpessoais, quando pessoas de um mesmo grupo apresentam opiniões diferentes em relação a algum assunto"", ""8"": ""Práticas ou ações que favorecem um determinado grupo de pessoas"", ""9"": ""Desigualdade de investimento em diferentes territórios, a depender do grupo que ali vive"", ""10"": ""Ações e medidas institucionais (do Estado e de organizações privadas ou públicas)"", ""11"": ""Negação da história, das contribuições e das potências de um determinado grupo de pessoas"", ""12"": ""Ignorar a existência de um determinado grupo de pessoas"", ""13"": ""Pressionar ou constranger alguém para mudar sua aparência (cabelo, roupas, etc.)"", ""97"": ""Nenhuma destas/Outras"", ""99"": ""Não sabe/ Não respondeu""}",2000,0
P8_2,P8_2,"P.08) Na sua opinião, quais situações a seguir representam a forma como as pessoas manifestam o racismo? Mais alguma?",numeric,36,11,"{""1"": ""Violência verbal, como xingamentos ou ofensas"", ""2"": ""Tratamento desigual"", ""3"": ""Negação de oportunidades"", ""4"": ""Violência física, como agressões"", ""5"": ""Exclusão/isolamento/desprezo de um grupo de pessoas"", ""6"": ""Intolerância religiosa"", ""7"": ""Conflitos interpessoais, quando pessoas de um mesmo grupo apresentam opiniões diferentes em relação a algum assunto"", ""8"": ""Práticas ou ações que favorecem um determinado grupo de pessoas"", ""9"": ""Desigualdade de investimento em diferentes territórios, a depender do grupo que ali vive"", ""10"": ""Ações e medidas institucionais (do Estado e de organizações privadas ou públicas)"", ""11"": ""Negação da história, das contribuições e das potências de um determinado grupo de pessoas"", ""12"": ""Ignorar a existência de um determinado grupo de pessoas"", ""13"": ""Pressionar ou constranger alguém para mudar sua aparência (cabelo, roupas, etc.)"", ""97"": ""Nenhuma destas/Outras"", ""99"": ""Não sabe/ Não respondeu""}",1335,665
P8_3,P8_3,"P.08) Na sua opinião, quais situações a seguir representam a forma como as pessoas manifestam o racismo? Alguma outra?",numeric,37,11,"{""1"": ""Violência verbal, como xingamentos ou ofensas"", ""2"": ""Tratamento desigual"", ""3"": ""Negação de oportunidades"", ""4"": ""Violência física, como agressões"", ""5"": ""Exclusão/isolamento/desprezo de um grupo de pessoas"", ""6"": ""Intolerância religiosa"", ""7"": ""Conflitos interpessoais, quando pessoas de um mesmo grupo apresentam opiniões diferentes em relação a algum assunto"", ""8"": ""Práticas ou ações que favorecem um determinado grupo de pessoas"", ""9"": ""Desigualdade de investimento em diferentes territórios, a depender do grupo que ali vive"", ""10"": ""Ações e medidas institucionais (do Estado e de organizações privadas ou públicas)"", ""11"": ""Negação da história, das contribuições e das potências de um determinado grupo de pessoas"", ""12"": ""Ignorar a existência de um determinado grupo de pessoas"", ""13"": ""Pressionar ou constranger alguém para mudar sua aparência (cabelo, roupas, etc.)"", ""97"": ""Nenhuma destas/Outras"", ""99"": ""Não sabe/ Não respondeu""}",940,1060
P8_4,P8_4,"P.08) Na sua opinião, quais situações a seguir representam a forma como as pessoas manifestam o racismo? Alguma outra?",numeric,38,11,"{""1"": ""Violência verbal, como xingamentos ou ofensas"", ""2"": ""Tratamento desigual"", ""3"": ""Negação de oportunidades"", ""4"": ""Violência física, como agressões"", ""5"": ""Exclusão/isolamento/desprezo de um grupo de pessoas"", ""6"": ""Intolerância religiosa"", ""7"": ""Conflitos interpessoais, quando pessoas de um mesmo grupo apresentam opiniões diferentes em relação a algum assunto"", ""8"": ""Práticas ou ações que favorecem um determinado grupo de pessoas"", ""9"": ""Desigualdade de investimento em diferentes territórios, a depender do grupo que ali vive"", ""10"": ""Ações e medidas institucionais (do Estado e de organizações privadas ou públicas)"", ""11"": ""Negação da história, das contribuições e das potências de um determinado grupo de pessoas"", ""12"": ""Ignorar a existência de um determinado grupo de pessoas"", ""13"": ""Pressionar ou constranger alguém para mudar sua aparência (cabelo, roupas, etc.)"", ""97"": ""Nenhuma destas/Outras"", ""99"": ""Não sabe/ Não respondeu""}",374,1626
P8_5,P8_5,"P.08) Na sua opinião, quais situações a seguir representam a forma como as pessoas manifestam o racismo? Alguma outra?",numeric,39,11,"{""1"": ""Violência verbal, como xingamentos ou ofensas"", ""2"": ""Tratamento desigual"", ""3"": ""Negação de oportunidades"", ""4"": ""Violência física, como agressões"", ""5"": ""Exclusão/isolamento/desprezo de um grupo de pessoas"", ""6"": ""Intolerância religiosa"", ""7"": ""Conflitos interpessoais, quando pessoas de um mesmo grupo apresentam opiniões diferentes em relação a algum assunto"", ""8"": ""Práticas ou ações que favorecem um determinado grupo de pessoas"", ""9"": ""Desigualdade de investimento em diferentes territórios, a depender do grupo que ali vive"", ""10"": ""Ações e medidas institucionais (do Estado e de organizações privadas ou públicas)"", ""11"": ""Negação da história, das contribuições e das potências de um determinado grupo de pessoas"", ""12"": ""Ignorar a existência de um determinado grupo de pessoas"", ""13"": ""Pressionar ou constranger alguém para mudar sua aparência (cabelo, roupas, etc.)"", ""97"": ""Nenhuma destas/Outras"", ""99"": ""Não sabe/ Não respondeu""}",234,1766
P8_6,P8_6,"P.08) Na sua opinião, quais situações a seguir representam a forma como as pessoas manifestam o racismo? Alguma outra?",numeric,40,11,"{""1"": ""Violência verbal, como xingamentos ou ofensas"", ""2"": ""Tratamento desigual"", ""3"": ""Negação de oportunidades"", ""4"": ""Violência física, como agressões"", ""5"": ""Exclusão/isolamento/desprezo de um grupo de pessoas"", ""6"": ""Intolerância religiosa"", ""7"": ""Conflitos interpessoais, quando pessoas de um mesmo grupo apresentam opiniões diferentes em relação a algum assunto"", ""8"": ""Práticas ou ações que favorecem um determinado grupo de pessoas"", ""9"": ""Desigualdade de investimento em diferentes territórios, a depender do grupo que ali vive"", ""10"": ""Ações e medidas institucionais (do Estado e de organizações privadas ou públicas)"", ""11"": ""Negação da história, das contribuições e das potências de um determinado grupo de pessoas"", ""12"": ""Ignorar a existência de um determinado grupo de pessoas"", ""13"": ""Pressionar ou constranger alguém para mudar sua aparência (cabelo, roupas, etc.)"", ""97"": ""Nenhuma destas/Outras"", ""99"": ""Não sabe/ Não respondeu""}",179,1821
P8_7,P8_7,"P.08) Na sua opinião, quais situações a seguir representam a forma como as pessoas manifestam o racismo? Alguma outra?",numeric,41,11,"{""1"": ""Violência verbal, como xingamentos ou ofensas"", ""2"": ""Tratamento desigual"", ""3"": ""Negação de oportunidades"", ""4"": ""Violência física, como agressões"", ""5"": ""Exclusão/isolamento/desprezo de um grupo de pessoas"", ""6"": ""Intolerância religiosa"", ""7"": ""Conflitos interpessoais, quando pessoas de um mesmo grupo apresentam opiniões diferentes em relação a algum assunto"", ""8"": ""Práticas ou ações que favorecem um determinado grupo de pessoas"", ""9"": ""Desigualdade de investimento em diferentes territórios, a depender do grupo que ali vive"", ""10"": ""Ações e medidas institucionais (do Estado e de organizações privadas ou públicas)"", ""11"": ""Negação da história, das contribuições e das potências de um determinado grupo de pessoas"", ""12"": ""Ignorar a existência de um determinado grupo de pessoas"", ""13"": ""Pressionar ou constranger alguém para mudar sua aparência (cabelo, roupas, etc.)"", ""97"": ""Nenhuma destas/Outras"", ""99"": ""Não sabe/ Não respondeu""}",140,1860
P8_8,P8_8,"P.08) Na sua opinião, quais situações a seguir representam a forma como as pessoas manifestam o racismo? Alguma outra?",numeric,42,11,"{""1"": ""Violência verbal, como xingamentos ou ofensas"", ""2"": ""Tratamento desigual"", ""3"": ""Negação de oportunidades"", ""4"": ""Violência física, como agressões"", ""5"": ""Exclusão/isolamento/desprezo de um grupo de pessoas"", ""6"": ""Intolerância religiosa"", ""7"": ""Conflitos interpessoais, quando pessoas de um mesmo grupo apresentam opiniões diferentes em relação a algum assunto"", ""8"": ""Práticas ou ações que favorecem um determinado grupo de pessoas"", ""9"": ""Desigualdade de investimento em diferentes territórios, a depender do grupo que ali vive"", ""10"": ""Ações e medidas institucionais (do Estado e de organizações privadas ou públicas)"", ""11"": ""Negação da história, das contribuições e das potências de um determinado grupo de pessoas"", ""12"": ""Ignorar a existência de um determinado grupo de pessoas"", ""13"": ""Pressionar ou constranger alguém para mudar sua aparência (cabelo, roupas, etc.)"", ""97"": ""Nenhuma destas/Outras"", ""99"": ""Não sabe/ Não respondeu""}",119,1881
P8_9,P8_9,"P.08) Na sua opinião, quais situações a seguir representam a forma como as pessoas manifestam o racismo? Alguma outra?",numeric,43,11,"{""1"": ""Violência verbal, como xingamentos ou ofensas"", ""2"": ""Tratamento desigual"", ""3"": ""Negação de oportunidades"", ""4"": ""Violência física, como agressões"", ""5"": ""Exclusão/isolamento/desprezo de um grupo de pessoas"", ""6"": ""Intolerância religiosa"", ""7"": ""Conflitos interpessoais, quando pessoas de um mesmo grupo apresentam opiniões diferentes em relação a algum assunto"", ""8"": ""Práticas ou ações que favorecem um determinado grupo de pessoas"", ""9"": ""Desigualdade de investimento em diferentes territórios, a depender do grupo que ali vive"", ""10"": ""Ações e medidas institucionais (do Estado e de organizações privadas ou públicas)"", ""11"": ""Negação da história, das contribuições e das potências de um determinado grupo de pessoas"", ""12"": ""Ignorar a existência de um determinado grupo de pessoas"", ""13"": ""Pressionar ou constranger alguém para mudar sua aparência (cabelo, roupas, etc.)"", ""97"": ""Nenhuma destas/Outras"", ""99"": ""Não sabe/ Não respondeu""}",101,1899
P8_10,P8_10,"P.08) Na sua opinião, quais situações a seguir representam a forma como as pessoas manifestam o racismo? Alguma outra?",numeric,44,11,"{""1"": ""Violência verbal, como xingamentos ou ofensas"", ""2"": ""Tratamento desigual"", ""3"": ""Negação de oportunidades"", ""4"": ""Violência física, como agressões"", ""5"": ""Exclusão/isolamento/desprezo de um grupo de pessoas"", ""6"": ""Intolerância religiosa"", ""7"": ""Conflitos interpessoais, quando pessoas de um mesmo grupo apresentam opiniões diferentes em relação a algum assunto"", ""8"": ""Práticas ou ações que favorecem um determinado grupo de pessoas"", ""9"": ""Desigualdade de investimento em diferentes territórios, a depender do grupo que ali vive"", ""10"": ""Ações e medidas institucionais (do Estado e de organizações privadas ou públicas)"", ""11"": ""Negação da história, das contribuições e das potências de um determinado grupo de pessoas"", ""12"": ""Ignorar a existência de um determinado grupo de pessoas"", ""13"": ""Pressionar ou constranger alguém para mudar sua aparência (cabelo, roupas, etc.)"", ""97"": ""Nenhuma destas/Outras"", ""99"": ""Não sabe/ Não respondeu""}",87,1913
P8_11,P8_11,"P.08) Na sua opinião, quais situações a seguir representam a forma como as pessoas manifestam o racismo? Alguma outra?",numeric,45,11,"{""1"": ""Violência verbal, como xingamentos ou ofensas"", ""2"": ""Tratamento desigual"", ""3"": ""Negação de oportunidades"", ""4"": ""Violência física, como agressões"", ""5"": ""Exclusão/isolamento/desprezo de um grupo de pessoas"", ""6"": ""Intolerância religiosa"", ""7"": ""Conflitos interpessoais, quando pessoas de um mesmo grupo apresentam opiniões diferentes em relação a algum assunto"", ""8"": ""Práticas ou ações que favorecem um determinado grupo de pessoas"", ""9"": ""Desigualdade de investimento em diferentes territórios, a depender do grupo que ali vive"", ""10"": ""Ações e medidas institucionais (do Estado e de organizações privadas ou públicas)"", ""11"": ""Negação da história, das contribuições e das potências de um determinado grupo de pessoas"", ""12"": ""Ignorar a existência de um determinado grupo de pessoas"", ""13"": ""Pressionar ou constranger alguém para mudar sua aparência (cabelo, roupas, etc.)"", ""97"": ""Nenhuma destas/Outras"", ""99"": ""Não sabe/ Não respondeu""}",78,1922
